##NAME: KMOS_Detector_chip3_noise_prob_dist.txt
##DATE: 01-03-14
##TYPE: KMOS detector chip 3 noise properties: 300s dark exposure
##AUTHOR: Simon Zieleniewski
##VERSION: 1.0
##EXTRA: 10x KMOS dark frames (300 s exposure time)
#Total variance, no.of pixels, Variance probability distribution
1.80819e+01,6.54436e+03,9.39035e-01
1.81818e+01,6.31908e+03,9.40070e-01
1.82817e+01,6.22695e+03,9.40570e-01
1.83816e+01,6.16451e+03,9.41561e-01
1.84815e+01,5.99289e+03,9.42046e-01
1.85814e+01,5.79659e+03,9.42994e-01
1.86813e+01,5.70066e+03,9.43453e-01
1.87812e+01,5.62774e+03,9.44359e-01
1.88811e+01,5.53778e+03,9.44804e-01
1.89810e+01,5.44388e+03,9.45684e-01
1.90809e+01,5.34310e+03,9.46114e-01
1.91808e+01,5.24070e+03,9.46962e-01
1.92807e+01,5.13064e+03,9.47376e-01
1.93806e+01,5.01875e+03,9.48190e-01
1.94805e+01,4.92135e+03,9.48586e-01
1.95804e+01,4.82744e+03,9.49368e-01
1.96803e+01,4.71708e+03,9.49748e-01
1.97802e+01,4.60269e+03,9.50496e-01
1.98801e+01,4.48511e+03,9.50859e-01
1.99800e+01,4.36672e+03,9.51569e-01
2.00799e+01,4.24595e+03,9.51913e-01
2.01798e+01,4.12457e+03,9.52585e-01
2.02797e+01,4.09004e+03,9.52913e-01
2.03796e+01,4.07755e+03,9.53565e-01
2.04795e+01,3.94505e+03,9.53885e-01
2.05794e+01,3.78171e+03,9.54508e-01
2.06793e+01,3.73175e+03,9.54807e-01
2.07792e+01,3.71127e+03,9.55402e-01
2.08791e+01,3.64690e+03,9.55695e-01
2.09790e+01,3.57098e+03,9.56274e-01
2.10789e+01,3.52897e+03,9.56557e-01
2.11788e+01,3.49600e+03,9.57119e-01
2.12787e+01,3.42920e+03,9.57395e-01
2.13786e+01,3.35328e+03,9.57939e-01
2.14785e+01,3.34092e+03,9.58206e-01
2.15784e+01,3.34592e+03,9.58739e-01
2.16783e+01,3.19945e+03,9.59000e-01
2.17782e+01,3.01113e+03,9.59503e-01
2.18781e+01,2.94462e+03,9.59741e-01
2.19780e+01,2.91216e+03,9.60209e-01
2.20779e+01,2.87229e+03,9.60440e-01
2.21778e+01,2.83033e+03,9.60896e-01
2.22777e+01,2.80080e+03,9.61121e-01
2.23776e+01,2.77483e+03,9.61566e-01
2.24775e+01,2.70779e+03,9.61785e-01
2.25774e+01,2.62887e+03,9.62214e-01
2.26773e+01,2.63650e+03,9.62424e-01
2.27772e+01,2.66947e+03,9.62846e-01
2.28771e+01,2.60069e+03,9.63056e-01
2.29770e+01,2.50179e+03,9.63467e-01
2.30769e+01,2.46132e+03,9.63665e-01
2.31768e+01,2.43834e+03,9.64057e-01
2.32767e+01,2.37971e+03,9.64249e-01
2.33766e+01,2.31028e+03,9.64626e-01
2.34765e+01,2.28253e+03,9.64809e-01
2.35764e+01,2.26754e+03,9.65172e-01
2.36763e+01,2.29604e+03,9.65354e-01
2.37762e+01,2.33799e+03,9.65722e-01
2.38761e+01,2.26774e+03,9.65906e-01
2.39760e+01,2.16235e+03,9.66263e-01
2.40759e+01,2.13396e+03,9.66435e-01
2.41758e+01,2.12997e+03,9.66775e-01
2.42757e+01,2.06241e+03,9.66942e-01
2.43756e+01,1.97449e+03,9.67268e-01
2.44755e+01,1.97262e+03,9.67425e-01
2.45754e+01,1.99860e+03,9.67741e-01
2.46753e+01,1.97075e+03,9.67899e-01
2.47752e+01,1.92530e+03,9.68212e-01
2.48751e+01,1.90799e+03,9.68365e-01
2.49750e+01,1.90000e+03,9.68669e-01
2.50749e+01,1.86955e+03,9.68819e-01
2.51748e+01,1.83159e+03,9.69116e-01
2.52747e+01,1.81789e+03,9.69261e-01
2.53746e+01,1.81240e+03,9.69551e-01
2.54745e+01,1.78307e+03,9.69694e-01
2.55744e+01,1.74561e+03,9.69977e-01
2.56743e+01,1.71038e+03,9.70115e-01
2.57742e+01,1.67591e+03,9.70387e-01
2.58741e+01,1.66626e+03,9.70520e-01
2.59740e+01,1.66526e+03,9.70786e-01
2.60739e+01,1.66352e+03,9.70918e-01
2.61738e+01,1.66152e+03,9.71184e-01
2.62737e+01,1.66542e+03,9.71316e-01
2.63736e+01,1.67141e+03,9.71582e-01
2.64735e+01,1.64141e+03,9.71714e-01
2.65734e+01,1.59845e+03,9.71974e-01
2.66733e+01,1.59103e+03,9.72102e-01
2.67732e+01,1.59652e+03,9.72356e-01
2.68731e+01,1.55233e+03,9.72481e-01
2.69730e+01,1.48989e+03,9.72726e-01
2.70729e+01,1.49996e+03,9.72846e-01
2.71728e+01,1.53693e+03,9.73086e-01
2.72727e+01,1.51430e+03,9.73208e-01
2.73726e+01,1.46934e+03,9.73448e-01
2.74725e+01,1.48381e+03,9.73566e-01
2.75724e+01,1.52078e+03,9.73804e-01
2.76723e+01,1.50281e+03,9.73924e-01
2.77722e+01,1.46385e+03,9.74163e-01
2.78721e+01,1.43895e+03,9.74278e-01
2.79720e+01,1.41947e+03,9.74507e-01
2.80719e+01,1.42370e+03,9.74620e-01
2.81718e+01,1.43719e+03,9.74848e-01
2.82717e+01,1.42452e+03,9.74962e-01
2.83716e+01,1.40154e+03,9.75189e-01
2.84715e+01,1.41323e+03,9.75301e-01
2.85714e+01,1.43870e+03,9.75527e-01
2.86713e+01,1.40716e+03,9.75641e-01
2.87712e+01,1.35271e+03,9.75863e-01
2.88711e+01,1.33629e+03,9.75970e-01
2.89710e+01,1.33529e+03,9.76183e-01
2.90709e+01,1.30594e+03,9.76289e-01
2.91708e+01,1.26498e+03,9.76495e-01
2.92707e+01,1.25477e+03,9.76596e-01
2.93706e+01,1.25726e+03,9.76796e-01
2.94705e+01,1.27421e+03,9.76897e-01
2.95704e+01,1.29719e+03,9.77101e-01
2.96703e+01,1.28292e+03,9.77204e-01
2.97702e+01,1.25295e+03,9.77408e-01
2.98701e+01,1.22753e+03,9.77507e-01
2.99700e+01,1.20406e+03,9.77702e-01
3.00699e+01,1.20434e+03,9.77798e-01
3.01698e+01,1.21483e+03,9.77990e-01
3.02697e+01,1.22148e+03,9.78087e-01
3.03696e+01,1.22648e+03,9.78282e-01
3.04695e+01,1.22904e+03,9.78380e-01
3.05694e+01,1.23054e+03,9.78576e-01
3.06693e+01,1.21126e+03,9.78674e-01
3.07692e+01,1.18279e+03,9.78866e-01
3.08691e+01,1.18471e+03,9.78960e-01
3.09690e+01,1.20019e+03,9.79150e-01
3.10689e+01,1.19674e+03,9.79245e-01
3.11688e+01,1.18475e+03,9.79436e-01
3.12687e+01,1.16933e+03,9.79530e-01
3.13686e+01,1.15234e+03,9.79716e-01
3.14685e+01,1.13844e+03,9.79807e-01
3.15684e+01,1.12595e+03,9.79988e-01
3.16683e+01,1.10425e+03,9.80077e-01
3.17682e+01,1.07828e+03,9.80252e-01
3.18681e+01,1.06626e+03,9.80338e-01
3.19680e+01,1.06076e+03,9.80508e-01
3.20679e+01,1.04102e+03,9.80591e-01
3.21678e+01,1.01454e+03,9.80756e-01
3.22677e+01,1.02461e+03,9.80838e-01
3.23676e+01,1.05208e+03,9.81002e-01
3.24675e+01,1.04211e+03,9.81086e-01
3.25674e+01,1.01414e+03,9.81251e-01
3.26673e+01,1.01408e+03,9.81332e-01
3.27672e+01,1.02757e+03,9.81494e-01
3.28671e+01,1.05011e+03,9.81577e-01
3.29670e+01,1.07708e+03,9.81746e-01
3.30669e+01,1.05658e+03,9.81831e-01
3.31668e+01,1.01262e+03,9.81997e-01
3.32667e+01,9.84000e+02,9.82077e-01
3.33666e+01,9.63021e+02,9.82233e-01
3.34665e+01,9.54338e+02,9.82310e-01
3.35664e+01,9.51841e+02,9.82462e-01
3.36663e+01,9.36753e+02,9.82537e-01
3.37662e+01,9.15274e+02,9.82686e-01
3.38661e+01,9.07009e+02,9.82758e-01
3.39660e+01,9.05511e+02,9.82903e-01
3.40659e+01,9.14221e+02,9.82976e-01
3.41658e+01,9.28207e+02,9.83122e-01
3.42657e+01,9.23150e+02,9.83196e-01
3.43656e+01,9.08165e+02,9.83342e-01
3.44655e+01,8.99399e+02,9.83415e-01
3.45654e+01,8.93905e+02,9.83558e-01
3.46653e+01,8.79926e+02,9.83629e-01
3.47652e+01,8.61444e+02,9.83768e-01
3.48651e+01,8.49795e+02,9.83836e-01
3.49650e+01,8.41803e+02,9.83972e-01
3.50649e+01,8.37054e+02,9.84039e-01
3.51648e+01,8.34057e+02,9.84172e-01
3.52647e+01,8.16834e+02,9.84238e-01
3.53646e+01,7.91859e+02,9.84367e-01
3.54645e+01,7.85579e+02,9.84430e-01
3.55644e+01,7.89575e+02,9.84556e-01
3.56643e+01,7.80718e+02,9.84618e-01
3.57642e+01,7.64734e+02,9.84742e-01
3.58641e+01,7.67969e+02,9.84803e-01
3.59640e+01,7.81955e+02,9.84926e-01
3.60639e+01,7.85723e+02,9.84989e-01
3.61638e+01,7.83725e+02,9.85114e-01
3.62637e+01,7.72814e+02,9.85176e-01
3.63636e+01,7.56830e+02,9.85299e-01
3.64635e+01,7.25932e+02,9.85358e-01
3.65634e+01,6.86471e+02,9.85472e-01
3.66633e+01,6.82755e+02,9.85527e-01
3.67632e+01,6.99738e+02,9.85636e-01
3.68631e+01,7.11676e+02,9.85693e-01
3.69630e+01,7.20667e+02,9.85806e-01
3.70629e+01,7.17399e+02,9.85864e-01
3.71628e+01,7.06910e+02,9.85978e-01
3.72627e+01,6.97674e+02,9.86034e-01
3.73626e+01,6.89182e+02,9.86145e-01
3.74625e+01,6.60390e+02,9.86199e-01
3.75624e+01,6.19431e+02,9.86302e-01
3.76623e+01,6.15207e+02,9.86352e-01
3.77622e+01,6.33189e+02,9.86450e-01
3.78621e+01,6.41241e+02,9.86501e-01
3.79620e+01,6.43239e+02,9.86604e-01
3.80619e+01,6.36577e+02,9.86655e-01
3.81618e+01,6.24589e+02,9.86756e-01
3.82617e+01,6.20925e+02,9.86805e-01
3.83616e+01,6.22423e+02,9.86905e-01
3.84615e+01,6.12552e+02,9.86954e-01
3.85614e+01,5.95569e+02,9.87051e-01
3.86613e+01,5.98189e+02,9.87098e-01
3.87612e+01,6.13174e+02,9.87194e-01
3.88611e+01,5.90301e+02,9.87242e-01
3.89610e+01,5.43348e+02,9.87335e-01
3.90609e+01,5.43258e+02,9.87378e-01
3.91608e+01,5.73228e+02,9.87466e-01
3.92607e+01,5.77417e+02,9.87512e-01
3.93606e+01,5.64930e+02,9.87603e-01
3.94605e+01,5.34304e+02,9.87647e-01
3.95604e+01,4.91847e+02,9.87731e-01
3.96603e+01,4.92777e+02,9.87770e-01
3.97602e+01,5.22247e+02,9.87850e-01
3.98601e+01,5.12979e+02,9.87891e-01
3.99600e+01,4.78014e+02,9.87972e-01
4.00599e+01,4.70285e+02,9.88009e-01
4.01598e+01,4.80775e+02,9.88085e-01
4.02597e+01,4.82912e+02,9.88123e-01
4.03596e+01,4.79415e+02,9.88200e-01
4.04595e+01,4.80676e+02,9.88238e-01
4.05594e+01,4.85171e+02,9.88315e-01
