# NAME: MORFEO_t5000.txt
# DATE: 07/05/2025
# VERSION: 1.0
# ORIGIN: MORFEO_transmission.xlsx
#
# Wavelength[um],emissivity
7.449999999999998845e-01,4.3714E-01
7.459999999999999964e-01,4.4353E-01
7.469999999999998863e-01,4.5026E-01
7.479999999999999982e-01,4.5502E-01
7.489999999999999991e-01,4.5318E-01
7.500000000000000000e-01,4.4364E-01
7.509999999999998899e-01,4.3172E-01
7.519999999999998908e-01,4.2228E-01
7.529999999999998916e-01,4.2718E-01
7.539999999999998925e-01,4.3602E-01
7.549999999999998934e-01,4.4527E-01
7.559999999999998943e-01,4.5151E-01
7.569999999999998952e-01,4.5385E-01
7.579999999999998961e-01,4.5178E-01
7.589999999999998970e-01,4.4693E-01
7.599999999999998979e-01,4.4184E-01
7.609999999999998987e-01,4.3808E-01
7.619999999999998996e-01,4.3591E-01
7.629999999999999005e-01,4.3574E-01
7.639999999999999014e-01,4.3675E-01
7.649999999999999023e-01,4.3803E-01
7.659999999999999032e-01,4.4012E-01
7.669999999999999041e-01,4.4274E-01
7.679999999999999050e-01,4.4585E-01
7.689999999999999059e-01,4.5040E-01
7.699999999999999067e-01,4.5521E-01
7.709999999999999076e-01,4.5896E-01
7.719999999999999085e-01,4.6276E-01
7.729999999999999094e-01,4.6552E-01
7.739999999999999103e-01,4.6729E-01
7.749999999999999112e-01,4.6913E-01
7.759999999999999121e-01,4.6850E-01
7.769999999999999130e-01,4.6519E-01
7.779999999999999138e-01,4.5978E-01
7.789999999999999147e-01,4.5216E-01
7.799999999999999156e-01,4.4470E-01
7.809999999999999165e-01,4.4392E-01
7.819999999999999174e-01,4.4738E-01
7.829999999999999183e-01,4.5093E-01
7.839999999999999192e-01,4.5479E-01
7.849999999999999201e-01,4.5855E-01
7.859999999999999210e-01,4.6247E-01
7.869999999999999218e-01,4.6736E-01
7.879999999999999227e-01,4.7175E-01
7.889999999999999236e-01,4.7466E-01
7.899999999999999245e-01,4.7578E-01
7.909999999999999254e-01,4.7516E-01
7.919999999999999263e-01,4.7228E-01
7.929999999999999272e-01,4.6642E-01
7.939999999999999281e-01,4.5961E-01
7.949999999999999289e-01,4.6356E-01
7.959999999999999298e-01,4.6300E-01
7.969999999999999307e-01,4.5925E-01
7.979999999999999316e-01,4.5226E-01
7.989999999999999325e-01,4.4482E-01
7.999999999999999334e-01,4.3835E-01
8.009999999999999343e-01,4.3363E-01
8.019999999999999352e-01,4.3171E-01
8.029999999999999361e-01,4.3177E-01
8.039999999999999369e-01,4.3249E-01
8.049999999999999378e-01,4.3444E-01
8.059999999999999387e-01,4.3759E-01
8.069999999999999396e-01,4.4254E-01
8.079999999999999405e-01,4.4911E-01
8.089999999999999414e-01,4.5566E-01
8.099999999999999423e-01,4.6167E-01
8.109999999999999432e-01,4.6523E-01
8.119999999999999440e-01,4.6452E-01
8.129999999999999449e-01,4.5907E-01
8.139999999999999458e-01,4.5139E-01
8.149999999999999467e-01,4.4302E-01
8.159999999999999476e-01,4.3586E-01
8.169999999999999485e-01,4.3868E-01
8.179999999999999494e-01,4.4423E-01
8.189999999999999503e-01,4.5133E-01
8.199999999999998401e-01,4.5884E-01
8.200000000000000622e-01,4.5884E-01
8.210000000000000631e-01,4.6576E-01
8.219999999999998419e-01,4.7105E-01
8.220000000000000639e-01,4.7105E-01
8.230000000000000648e-01,4.7371E-01
8.239999999999998437e-01,4.7417E-01
8.240000000000000657e-01,4.7417E-01
8.250000000000000666e-01,4.7148E-01
8.259999999999998455e-01,4.6758E-01
8.260000000000000675e-01,4.6758E-01
8.270000000000000684e-01,4.6523E-01
8.279999999999998472e-01,4.6296E-01
8.280000000000000693e-01,4.6296E-01
8.290000000000000702e-01,4.6061E-01
8.299999999999998490e-01,4.5877E-01
8.300000000000000711e-01,4.5877E-01
8.310000000000000719e-01,4.5592E-01
8.319999999999998508e-01,4.5348E-01
8.320000000000000728e-01,4.5348E-01
8.329999999999998517e-01,4.5317E-01
8.339999999999998526e-01,4.5318E-01
8.349999999999998535e-01,4.5161E-01
8.359999999999998543e-01,4.5529E-01
8.369999999999998552e-01,4.6367E-01
8.379999999999998561e-01,4.7059E-01
8.389999999999998570e-01,4.7512E-01
8.399999999999998579e-01,4.7716E-01
8.409999999999998588e-01,4.7418E-01
8.419999999999998597e-01,4.6970E-01
8.429999999999998606e-01,4.6806E-01
8.439999999999998614e-01,4.6630E-01
8.449999999999998623e-01,4.6268E-01
8.459999999999998632e-01,4.5949E-01
8.469999999999998641e-01,4.5464E-01
8.479999999999998650e-01,4.5022E-01
8.489999999999998659e-01,4.5003E-01
8.499999999999998668e-01,4.5022E-01
8.509999999999998677e-01,4.5022E-01
8.519999999999998685e-01,4.5055E-01
8.529999999999998694e-01,4.5010E-01
8.539999999999998703e-01,4.4996E-01
8.549999999999998712e-01,4.5208E-01
8.559999999999998721e-01,4.5436E-01
8.569999999999998730e-01,4.5455E-01
8.579999999999998739e-01,4.5467E-01
8.589999999999998748e-01,4.5498E-01
8.599999999999998757e-01,4.5473E-01
8.609999999999998765e-01,4.5264E-01
8.619999999999998774e-01,4.4973E-01
8.629999999999998783e-01,4.5379E-01
8.639999999999998792e-01,4.5784E-01
8.649999999999998801e-01,4.6144E-01
8.659999999999998810e-01,4.6215E-01
